term_en,description_english,description_arabic,term_arabic
DIRECT EXAMINATION,When a witness testifies and answers questions asked by the party that asked them to testify. (Compare CROSS-EXAMINATION.),استجواب بداي - استجواب الشاهد من قبل الطرف الذي أمره بالشهادة (يقابل بالاستجواب المضاد).,استجواب بداي
DIRECTED VERDICT,An instruction by the judge to the jury to return a specific verdict. Now called Judgment as a Matter of Law.,حكم موجة - حكم يصدره القاضي لهيئة المحلفين لإصدار حكم معين يعرف اليوم باسم حكم بموجب القانون.,حكم موجة
INSANITY PLEA,A claim by a defendant that he or she lacks the soundness of mind required by law to accept responsibility for a criminal act.,ادعاء الجنون - ادعاء من المتهم أنه لا يتمتع بالصحة العقلية المطلوبة قانونًا لتحمل المسؤولية بوجه تهمة جزائية معينة.,دفع بالجنون
INSTRUCTIONS,The explanation of constitutional rights given by a judge to a defendant.,التعليمات - شرح الحقوق الدستورية التي يمنحها القاضي للمتهم.,التعليمات
INTANGIBLE ASSETS,"Property that you own, but do not physically have. For example, stocks, bonds, bank accounts, copyrights, patents, etc.",أصول غير ملموسة - أصول تملكها ولكن لا يمكن معاينتها ماديًا. مثل الأسهم، السندات، الحسابات المصرفية، حقوق النشر، البراءات إلخ.,الأصولغير الملموسة
INTENT,The purpose to use a particular means to bring about a certain result.,النية - العزم على استخدام وسيلة معينة لتحقيق نتيجة محددة.,النية
INTENT TO DEFRAUD,"To have in mind a purpose to cheat or trick someone. For example, purposely writing a bad check.",النية للتزوير - لديك نية لخداع أو خداع شخص ما عمدًا، مثل كتابة شيك بدون رصيد متعمدًا.,نية التحايل
INTER ALIA,Among other things.,حسب إشارة آخرى,ضمن أمور أخرى
INTER VIVOS GIFT,A gift made during the giver’s life.,هدية ما بين الأحياء - هدية يتم اعطاؤها خلال حياة المانح.,هبة بين الأحياء
INTER VIVOS TRUST,A trust made while the owner is still alive. Another name for a living trust.,عهد بين الأحياء - صندوق يتم خلقه بينما المالك لا يزال على قيد الحياة، يُطلق عليه أيضًا صندوق حياة.,الأمانة بين الأحياء
INTERLINEATIONS,The act of writing between the lines of a document.,تعديلات النص - الكتابة بين السطور في الوثيقة.,تعديلات المستند
INTERLOCUTORY,Provisional; not final. An interlocutory appeal concerns only a part of the issues raised in a lawsuit. (Compare to DECREE.),قرار - حكم في مرحلة من مراحل التقاضي: قرار تقاضي مؤقت من القاضي لا يتعلق إلا بجزء من القضية المطروحة.,حكم مؤقت
INTERPLEADER,When two or more people say they have a claim to the same thing held by a third party. The third party may force them to go to trial with each other to settle their dispute.,الاستحضار في الدعوى - عندما يدعي أكثر من شخص الحق في نفس الشيء الذي يحمله طرف ثالث. يمكن لهذا الطرف الثالث إجبارهم على الذهاب للمحاكمة بينهما لحل نزاعهم.,التدخل في الدعوى
INTERPRETER,"A person who is certified as being able to translate, orally or in writing, spoken or sign language into the common language of the court.",مترجم - شخص معتمد على أنه قادر على الترجمة شفهياً أو كتابياً، للغات المنطوقة أو لغة الإشارات للغة المشتركة المعتمدة في المحاكم.,المترجم
INTERROGATORIES,Written questions asked by one party in a lawsuit for which the opposing party must answer them in writing.,أسئلة استجوابية - أسئلة مكتوبة يطرحها طرف في القضية يجب على الطرف المعارض الإجابة عليها كتابًا.,الأسئلة الاستجوابية
INTERVENOR,A person who voluntarily interrupts in an action or other proceeding with the leave of the court.,متداخل في القضية - شخص يتدخل بإرادته في تداعٍ معين.,المداخل في القضية
INTERVENTION,An action by which a third person who may be affected by a lawsuit is permitted to become a party to the suit. Differs from the process of becoming an AMICUS CURIAE.,تدخل في قضية - تدخل شخص ثالث لا يكون طرفا في القضية، لكن القضية لها تأثير معين عليه، مختلفة عن الدخول في الأدلة. الأمر.,التدخل في القضية
ESTATE,"Everything a person (alive or dead) owns and owes. There are different types of estates, like probate, nonprobate, trust and taxable estates. Probate estate: The property someone’s will controls. Nonprobate estate: The property the probate court does not handle. Estate example, if there’s a trust or joint tenancy. Trust estate: Property in a trust. A trustee controls the trust. Taxable estate: The property subject to federal estate tax when a person dies. For example, life insurance.",بنود أو بضائع. - كل شيء يملكه شخص حي أو ميت. يوجد أنواع عديدة من الأملاك، مثل الأملاك التي تخضع لاختصاص محكمة المواريث (التنفيذ). والأملاك التي لا تخضع لاختصاص محكمة المواريث (المواريث الغير محكم). وديعة: مثالا، إذا كان هنالك توكيل أو رفقة في التمليك؛ أملاك الوكالة؛ منقول داخل وكالة. والوكيل يتحمل المسؤولية. الأملاك الخاضعة للضريبة: الأملاك التي تخضع للضريبة الفدرالية على الأملاك عند وفاة شخص ما. مثال: بوليصة التأمين الحياة.,ملكية
ESTATE TAX,"Generally, a tax on the privilege of transferring property to others after a person’s death. In addition to federal estate taxes, many states have their own estate taxes.",حقوق الأملاك - عموما حق في فرض الضرائب على انتقال بعض أنواع الأملاك في الوفاة والتي تأخذها الحكومة الاتحادية أو الولايات على الأملاك التي تنتقل إلى الورثة.,حقوق الأملاك العقارية
ESTOPPEL,An act or statement that prevents a person from later making claims to the contrary.,حت على عائق - يمنع بيع شيء معين أو تأجيل هبتها لمن,
ET AL.,"In Latin, this means ""and others."" Refers to parties not included in the formal name of a court case.","وآخرون - بالنص اللاتيني، ينطوي ""وآخرون"" إلى أشخام غير مذكورة في اسم القضية المكتوبة.",وآخرون
ET SEQ.,"An abbreviation for et sequentes, or et sequentia, Latin meaning “and the following,” ordinarily used in referring to a section of statutes.","وما يلي - يا `ي لها "" وما بعد"", يكاد يستخدم للأشارة إلى نص في القواميس",وما يلي
ET UX.,"In Latin, this means “and wife.”",والزوجة - كلمة لاتينية,والزوجة
EVICTION,Recovery of land or rental property from another by legal process. (See UNLAWFUL DETAINER.),أخلاء - استرداد موقع أو أجرة من إيجار بالعملية القانونية. (انظر,طرد
EVIDENCE,"Any proof legally presented at trial through witnesses, records, and/or exhibits.",بينة - كل دليل قانوني يقدم في محكمة بوسائل الشهود، والمستندات.,برهان
"EVIDENCE, CIRCUMSTANTIAL",Conclusion drawn from proven facts.,بينة ظنية - استدلال على معيار حقائق مثبتة,برهان ظني
"EVIDENCE, DIRECT","Evidence in form of a witness’s testimony, who actually saw, heard, or touched the subject in question.",بينة مباشرة وكل دليل - شهادة قاطع، شاهد أو سمع حدث.,برهان مباشر
"EVIDENCE, EVANESCENT","Evidence which can disappear relatively quickly, such as the amount of alcohol in a person's blood.",دليل اختفائي - دليل يمكن أن يتلاشى سريعًة مثلا كمية الكحول في دم شخصى,دليل زائل
"EXAMINATION, DIRECT",The first examination of a witness by the counsel who called the witness to testify.,الاستجواب بالغ - استجواب أول من قبل المدعي الذي دعا الشاهد للشهادة,استجواب مباشر
CERTIORI,Appeal to U.S. Supreme Court.,استئناف أمام محكمة الولايات المتحدة العليا,تصديق
CHAIN OF CUSTODY,A method to track the whereabouts of evidence from the moment it is received in custody until it is offered in court.,سلسلة الأمان – طريقة لتتبع مكان وجود الأدلة من لحظة استلامها إلى الوقت الذي تعرض فيه في المحكمة.,سلسلة الأمان
CHALLENGE,Someone’s right to object to or fight something in a legal case.,حق في التحدي بأن يعترض شخص ما أو يقاوم شيء ما في قضية قانونية,تحدي
CHALLENGE FOR CAUSE,Reasons that a lawyer gives for removing a juror or judge from a case. (Compare with PEREMPTORY CHALLENGE.),التحدي لسبب - يعطي محامي الأسباب لاستبعاد عضو هيئة المحلفين أو القاضي  المعين في قضية (مقابل التحدي القاطع),التحدي للسبب
CHALLENGE TO THE ARRAY,"Questioning the qualifications of an entire jury panel, usually on the ground of partiality or some fault in the process of summoning the panel.",التحدي لجدول المحلفين - التحدي لأهليات جميع أجزاء هيئة المحلفين على أساس التحيز. أو خطأ في إجراء بعض التبليغ لأعضاء المحكمة.,التحدي لجدول المحلفين
CHAMBERS,A judge’s private office.,مكتب القاضي الخاص.,غرفة
CHANGE OF VENUE,When a civil or criminal case is moved from one court jurisdiction to another. (See VENUE.),تغيير مكان القضية - إذا تم نقل قضية مدنية أو جنائية من اختصاص قضائي واحد إلى آخر (انظر مكان المحكمة).,تغيير مكان القضية
CHARACTER EVIDENCE,Evidence pertaining to whether a criminal defendant is a good or bad person.,أدلة الطابع - أدلة تعلق بسواء كون المتهم جيداً أو سيئاً.,أدلة الطابع
CHARGE,"In criminal law, each thing the defendant is accused of. (See COUNT.)",تهمة - في قانون الجنائي، كل شيء يتم اتهام المتهم به. (انظر),تهمة
CHARGE TO THE JURY,The judge’s instructions to the jury concerning the law that applies to the facts of the case on trial.,تعليمات إلى المحلفين - تعليمات القاضي إلى هيئة المحلفين التي تقدم التوجيه على قانون ينطبق على وقائع تجدد المحاكمة,تعليمات إلى المحلفين
CHARGING DOCUMENT,"A written accusation saying a defendant has committed an offense. Includes a citation, an indictment, information, and statement of charges.",وثيقة اتهام - وثيقة مكتوبة على أن الشخص المتهم أركب جريمة، تتضمن استشهاد، قرار اتهام، إيضاح، وبيان بتهم.,وثيقة اتهام
CHATTEL,A piece of personal property.,ممتلكات خصوصية - رهن اتفاق البيع الشخصي.,ممتلكات خصوصية
CHIEF JUDGE,Presiding or Administrative Judge in a court.,رئيس المحكمة - القاضي الذي يرأس أو يدير محكمة.,رئيس المحكمة
CHILD ABUSE,"Hurting a child physically, sexually or emotionally.",الاعتداء الأولاد - إذا آذى - جسدياً، جنسياً، أو عاطفياً.,الاعتداء الأولاد
CHILD ABDUCTION,"The offense of taking away a child by deceit and persuasion, or by violence.",خطف الأولاد- إذا تم أخذ طفل عن طريق الخداع أو الإقناع، أو عن طريق القوة.,خطف الأولاد
PAT DOWN SEARCH,A limited search of the outer clothing of a person in an attempt to discover weapons which might be used to assault the officer and may be conducted if the officer has a reasonable belief that the detained person is armed and dangerous.,التفتيش الواقع - تفتيش محدود للملابس الخارجية لشخص بغرض الكشف عن أي أسلحة محتملة قد تُستخدم للإعتداء على الضابط، ربما يُشكل اذا كان لدى الضابط اعتقاد منطقي بأن المحتجز مُسلح وخطير.,التفتيش الواقع
PATENT,A government grant giving an inventor the exclusive right to make or sell his or her invention for a term of years.,براءة اختراع - منحة حكومية تعطي المخترع حق حصري لصنع أو بيع اختراعه لفترة معينة من السنوات.,براءة اختراع
PATERNITY,Who the birth (biological) parents of a child are.,الأبوة - أن يُعتبر الفاقد البيولوجي أولياء الأمور للطفل.,الأبوة
PEACE OFFICER,"Includes sheriffs and their deputies, members of the police force of cities, and other officers whose duty is to enforce and preserve the public peace.",حارس الأمن - يشمل الشريف ونوابه، وأعضاء الشرطة للمدن وغيرهم من الضباط، اللذين واجبهم تطبيق وحفظ النظام العام العامي.,حارس الأمن
PENALTY,Punishment for breaking a law.,عقوبة - معاقبة على انتهاك القانون.,عقوبة
PENALTY ASSESSMENT,An amount of money added to a fine.,تقييم العقوبة - حين يتم إضافة مبلغ من المال إلى غرامة.,تقييم العقوبة
PENALTY OF PERJURY,"Circumstances under which a person takes an oath that he will testify, declare, depose or certify truthfully.",نص تحت طائلة الحلف بالزور - الهيئة التي يؤدي فيها شخص قسماً أنه سيدلى بشهادة حقيقية.,نص تحت طائلة الحلف بالزور
PENDING,The status of a case that is not yet resolved by the court.,سلطة حكم قضائي لم يتم حسمه بعد في المحكمة.,سلطة حكم قضائي
"PENETRATION, UNLAWFUL","Unlawful insertion of the male part into the female parts, however slight an extent.",اختراق غير مشروع - ادخال الجزء الذكري لجسم انسان آخر أو ادخال القضيب في المهبل بطريق غير مشروع.,اختراق غير مشروع
PENITENTIARY,A prison or place of confinement where convicted felons are sent to serve out the term of their sentence.,السجن الإصلاحي - جهة حجز الأفراد المدانين حيث يمكثون لفترة العقوبة المحكوم عليهم بها.,السجن الإصلاحي
PEOPLE (PROSECUTION),"A state, for example, the People of the State of California.",الشعب (الادعاء) - أي دولة، مثلا الشعب في دولة كاليفورنيا.,الشعب (الادعاء)
PER CURIUM OPINION,An unsigned OPINION of the court.,رأي صكدر بدون توقيع,رأي صكدر بدون توقيع
PEREMPTORY CHALLENGE,The right to challenge a juror without assigning a reason for the challenge.,التحدي القاطع - الحق في تحدي حكم دون تقديم سبب للتحدي.,التحدي القاطع
PERJURY,A false statement made on purpose while under oath in a court proceeding.,بيان زور - الإدلاء ببيانات زائفة بقصد التحريف في محكمة تحت حلفان اليمين.,بيان زور
PRETERMITTED CHILD,"A child born after a will was written, who is not provided for by the will. Most states have laws that provide for a share of estate property to go to such children.","أولز اﻟﻤﻨﺘﻮل - هو من يولد بعد كتابة الوصية, ولم يرد ذكره فيها. وفي معظم الولايات توجد قوانين تضمن له نصيبا من ملك الإرث.",الطفل المنتول
PRETRIAL CONFERENCE,"Any time both sides of the case go to court before trial. In criminal cases, it's usually when the defendant and prosecutor talk about settling the case.",إجتماع ما قبل المحاكمة - اجتماع الأطراف في القضية في المحكمة للتمهيد في التوصل إلى تسوية القضية، إن أمكن، قبل أن يَحِنَ الدور للمحاكة.,الاجتماع ما قبل المحاكمة
PRIMA FACIE CASE,"A case that is sufficient and has the minimum amount of evidence necessary to allow it to continue in the judicial process. From the Latin for ""from first view.""",ﻗﻀﻴﺔ ﺑﺪﻳﻬﻴﺔ الأدﻟﺔ - اﻗﻀﻴﺔ ﺗﺘﻮﺍﻓﺮ ﻓﻴﻬﺎ اﻷﺩﻟﺔ اﻟﻤﻨﺎﺳﺒﺔ ﻝﺘﺘﻴﺢ ﻣﺴﺘﻤﺮﺍﺭﻫﺎ ﻓﻲ اﻝﻌﻤﻠﻴﺔ اﻝﻘﻀﺎﺋﻴﺔ في,أدلة بدائية الأولى
PRINCIPAL,The source of authority or right.,مصدر يستلزم حق -,المصدر
PRINCIPALS,"Persons who are involved in committing or attempting to commit a crime.  Includes those who directly and actively commit or attempt to commit the crime, or those who assist (aid and abet) in the commission or attempted commission of the crime.",أصحاب الأمر الرئيس - الأشخاص المتورطون في إرتكاب جريمة أو محاولة إرتكابها. يشمل هؤلاء الذين يرتكبون أو يحاولون إرتكاب الجريمة، نور أو يساعدون (يعينون ويحرضون) في ارتكاب الجريمة أو محاولة ارتكابها.,المسئولون
PRINCIPLE TERM,"Greatest term of imprisonment imposed by the court on any one count, imposed of base item plus any enhancements, to which subordinate terms are added.",مدى أكبر للحكم - أطول مدة سجن تصدرها المحكمة عن أي حكم واحد، إبتداء بعقوبة أساسية بالإضافة إلى التعزيزات المُستحقة، يضاف إليها حكام فرعية.,المدة الأصلية
PRIORS,Term meaning previous conviction(s) of the accused.,سوابق - تعني الأحكام السابقة للمتهم.,السوابق
PRIOR CONVICTION,"As used in Superior Court pleadings, an allegation that defendant has previously been imprisoned.",إتهام سابق - إتهام يُستخدم في دعاوى المحكمة العليا بأن المتهم قد سُجن سابقاً.,الاتهام السابق
PRIOR INCONSISTENT STATEMENT,"In evidence, these are prior statements made by the witness which contradict statements the witness made on the witness stand.",تصريح متناقض سابق - تصريح كتبه الشاهد من قبل يتناقض مع ما صرح به على منصة الشهادة.,التصريح المتناقض المسبق
PRISON,"A federal or state public building or other place for the confinement of persons. It is used either as a punishment imposed by the law or otherwise in the course of the administration of justice. Also known as penitentiary, penal institution, adult correctional institution, or jail.",سجن (الفرق) - مبنى عام اتحادي أو ولايتي لحبس الأشخاص. يستخدم إما كعقوبة محددة بموجب القانون، أو خلاف ذلك (لفترة محددة) في إطار إدارة العدء العقابي العقابي أو السجن.,السجن
PRIVACY RIGHT OF,The right to be let alone; the right of a person to be free from unwarranted publicity.,حق الخصوصيات - من حق الأشخاص أن يُترك بحاله ولا يكون خضوعاً منفصلاً من الدعاية غير المبررة المخالف.,حق الخصوصية
PRIVILEGE,"An advantage not enjoyed by all, a special exemption from prosecution or other lawsuits.",امتياز - إفضلية لا يتمتع بها الجميع، إعفاء خاص من الأدعاء العام أو دعاوى قضائية أخرى.,الإمتياز
UNDER THE INFLUENCE,"Any abnormal mental or physical condition which is the result of indulging in any degree in intoxicating liquors, and which tends to deprive one of that clearness of intellect.",تحت التأثير: الحالة الذهنية أو الجسدية غير الطبيعية,تحت التأثير
UNEMPLOYMENT,State or condition of not being employed.,البطالة: حالة عدم وجود وظيفة أو عمل,البطالة
UNILATERAL,"One-sided, or having a relation to only one of two or more persons or things.",أحادي الجانب,أحادي الجان￼ب
UNJUST ENRICHMENT,"The principle that one person should not be permitted to unjustly enrich himself at the expense of another, but should be required to make restitution for the property or bene.",الاثراء بلا سبب,الاثراء بلا سبب￼
UNLAWFUL ASSEMBLY,"At common law, the meeting together of three or more persons, to the disturbance of the public peace, with the intention of forcible and violent execution of some unlawful private.",الاجتماع غير المشروع,االاجتماع غير المشروع
UNLAWFUL DETAINER,The eviction papers (Summons and Complaint that a landlord gives a tenant.,الاحتجاز غير المشروع - الإخطار القانوني-(اشعار ز,الاحتجاز غير المشروع
UNRUH CIVIL RIGHTS ACT,"This law provides protection from discrimination by all business establishments in California, including housing and public accommodations, because of age, ancestry, color, disa.",قانون حقوق مدنية أونروه,قانون حقوق مدنية أونروه
UNSECURED,"In bankruptcy proceedings, the claim a claim, a claim is unsecured if there is no collateral, or to the extent the value of collateral is less than the amount of the debt.",غير مضمون,غير مضمون
USURY,Charging a higher interest rate or higher fees than the law allows.,ربا بأسعار فائدة أعلى من الحد القانوني المسموح.,الربا
UTTER,"To use or to attempt to use a check, draft, or order to either (1) assert that it is genuine, or (2) represent to another person that it is genuine.",أن يتلف,أن يتلف
VACATE,To render an act void; to set aside.,يجلي أو يخلي مكاناً.,يجلي أو يخلي مكاناً.
VAGRANCY,"The state or manner of living by wandering from place to place without a home, job, or means of support.",تشرد: الرحيل من مكان إلى اخر بدون مأوى او عمل.,تشرد
1203.03 PC MOTION,"Request to cancel, modify, change or terminate probation.",طلب لإلغاء الإفراج المشروط أو تعديله أو تغييره أو إنهائه.,طلب حسب البند ١٢٠٣.٠٣ من قانون العقوبات
1203.4 PC MOTION,"Request to take back guilty plea or set aside a guilty verdict, and dismiss the accusations or information. (Made after probation has either terminated or defendant was discharged from probation prior to termination.)",طلب لاستعادة إقرار بالذنب أو إلغاء الحكم الجانائي وإسقاط التهم الموجهة. (يقدم بعد انتهاء مدة الإفراج أو تم إعفاء الجاني منها.),طلب حسب البند ١٢٠٣.٤ من قانون العقوبات
170.6 PC MOTION,Request to disqualify the assigned judge from hearing a matter.,طلب لاستبعاد القاضي الذي تم تعيينه من سماع قضية,طلب حسب البند ١٧٠.٦ من قانون العقوبات
995 PC MOTION,Request made by a defendant to dismiss a count of information.,طلب يقدمه المتهم لإسقاط بند من بنود لائحة الاتهام,طلب حسب البند ٩٩٥ من قانون العقوبات
ABANDONMENT,"When a parent leaves a child without enough care, support, or parental contact for an excessive period of time.",ترك الطفل القاصر دون الرعاية الكافية، وبدون رعاية كافية، وبدون تواصل أبوي لفترة مفرطة.,التخلي
ABATE,To put an end to; to cancel out.,يبطل – ينهي,إبطال
ABATEMENT OF ACTION,A suit which has been set aside and ended.,دعوى موجوع – حكم بوضع حد لنشاط بعينه,إلغاء دعوى
ABDUCTION,"The offense of taking away a wife, child, or ward by deceitful persuasion, force, or violence.",جريمة خطف الزوجة، الطفل، أو الوصي عن طريق الإقناع المضلل، العنف، واﻹكراه,خطف
ABROGATE,To repeal or cancel an old law using another law or constitutional power.,يلغي – بمعنى إلغاء قانون قديم باستخدام قانون آخر أو سلطة دستورية,إبطال
ABSTRACT,"A summary of what a court or government agency does. In Traffic, document that is sent to the Department of Motor Vehicles (DMV) to update driving record.",خلاصة- خلاصة تعبر بمعنى موجز جدا لعمل محكمة أو وكالة حكومية في القيادة، تقرير يرسل للمشاغل القيادة في الولايات المتحدة لتحديث سجلات قيادة السائقين,
ABSTRACT OF JUDGMENT,Summary of the court’s final decision. Can be used as a lien if you file it with the county recorder.,خلاصة الحكم – خلاصة للحكم النهائي بمكن استعماله كضمانة إذا تم تقديمها في ملف الضابط القانوني,خلاصة الحكم
ABSTRACT OF RECORD,Short form of the case.,خلاصة الدعوى – خلاصة لملخص القضية,خلاصة السجل
ABUSE,"(1) immoderate or improper use; (2) to do physical, sexual, or psychological harm to someone.",1. استخدام مفرط أو غير لائق 2. يسبب ضرر جسدي، جنسي، نفسيﺇلى شخص أخر,إساءة
ABUSE OF PROCESS,Misuse of the power of the court.,استعمال سوء العملية (الطعن) – استعمال سلطة المحكمة,إساءة استعمال
ACCESSORY,"A person who helps someone else commit a crime, either before or after the crime.",شخص يعاون – شخص يساعد شخص آخر في ارتكاب جريمة، سواء قبل أو بعد وقوع الجريمة,شريك في الجريمة
GRAND JURY,A group of 16 to 23 citizens that listen to the prosecutor's evidence of criminal allegations and decide whether there is probable cause to believe a person committed a crime and to charge them with that crime.,محلفين كبير - مجموعة من 16 إلى 23 مواطن يستمعون إلى أدلة الادعاء في التهم الجنائية ويحكموا إذا كان هناك سبب وجيه للاعتقاد أن شخص ارتكب جريمة ويتهموه بها.,محلفين كبير
GRAND THEFT,Taking and carrying away the personal property of another person of a value in excess of an amount set by law with the intent to deprive the owner or possessor of it permanently.,سرقة كبيرة - أخذ و نقل متعلقات شخصية أخر بقيمة تتجاوز حدود القانون مع النية في حرمان المالك أو الحائز من ملكيتها دائما.,سرقة كبيرة
GRANTOR OR SETTLOR,The person who sets up a trust.,الناقل أو أساسي - الشخص الذي يقيم عقد ثقة.,الناقل أو أساسي
GREAT BODILY INJURY,"Injury which involves a substantial risk of death, serious permanent disfigurement, or loss of function of any part of an organ of the body. Is a graver and more serious than ordinary battery.",إصابة بدنية جسيمة - إصابة تشمل خطراً جسيماً على الحياة أو تشويه دائم جدي و افقاد خطير للوظيفة لأي جزء من عضو في الجسم.,إصابة بدنية جسيمة
GROSS NEGLIGENCE,"A negligent act(s) which is reckless or flagrant and which is such a departure from conduct of an ordinary, prudent person under the same circumstances as to be contrary to a proper regard for human life or to constitute indifference to the consequences of the negligent act(s) could reasonably have been foreseen and it must appear that the death/danger to human life was not the result of inattention or mistaken judgment, but the natural and probable result of reckless or flagrantly negligent act.",إهمال مشين - سلوك غير مسؤول أو متهور من نحو يخالف سلوك شخص متعقل في ظروف مشابهة إلى حد يخالف احترام الحياة الإنسانية أو يساوي اللامبالاة بنتائج الإهمال التي كان يمكن توقعها بشكل معقول، ويظهر أن الوفاة/الخطر للحياة الإنسانية لم يكن نتيجة لعدم الانتباه أو خطأ في الحكم ولكن كانت نتيجة طبيعية ومحتملة لإهمال متهور وصريح.,إهمال مشين
GROUNDS,A foundation or basis; points relied on.,أسس - أساس أو بنية؛ نقاط يتكل عليها.,أسس
GUARDIAN,"A person appointed by will or by law to assume responsibility for incompetent adults or minor children. If a parent dies, this will usually be the other parent. If both die, it probably will be a close relative. In juvenile dependency cases, once a guardian is appointed, dependency may be terminated.",وصي، خادم شخص يعين بوصية أو حسب القانون ليتكفل بالبالغين الغير الأهل أو الأطفال الصغار. إذا توفى أحد الوالدين عادةً ما يكون الوالد الآخر. وإذا توفي الاثنين، على الأرجح أن يكون أحد الأقارب المقربين. في القضايا المتعلقة بالاعتماد الجنائي، متى يعين وصي تنتهي فترة الاعتماد عادة.,وصي، خادم
GUARDIAN AD LITEM,An adult appointed by a court who represents a minor child or legally incompetent person.(See also AD LITEM),وصي في قضية - شخص بالغ يعين من قبل المحكمة لتمثيل طفل صغير أو شخص قانونياً غير مهيأ. (انظر أيضاً إلى فقرة ليتم),وصي في قضية
GUARDIANSHIP,"A court proceeding where a judge chooses someone to care for a person under age 18 or to manage the minor's estate (property), or both. In some states, conservatorship of an adult is called guardianship, but not in California. (Compare with CONSERVATORSHIP)",وصاية - إجراءات المحكمة في تعيين القاضي شخص يهتم بشخص دون 18 عاماً أو يدير ممتلكات الصغار، وأحيانًا أملاك البالغين تسمى وصاية ببعض الولايات ولكن ليس في كاليفورنيا. (قارن بـ وكالة أمر),وصاية
TAXATION OF COSTS,"The process of ascertaining and charging up the amount of costs in an action to which a party is legally entitled, or which are legally chargeable.",تقدير مجمل الكلف - أي تقدير مجمل تكاليف الدعوى، بما يشمل الطوابع، بناء على ما يعد القانون الشخص مستحقا عليه، عبر قرار بذلك الشأن.,تقدير المصاريف
TEMPORARY RELIEF,Any form of action by a court granting one of the parties an order to protect its interest pending further action by the court.,حكم مؤقت - أي قرار صادر في الموضوع يصدر ضد أحد الأطراف المتنازعة صالحا إلى حين اتخاذ قرار نهائي.,الإغاثة المؤقتة
TEMPORARY RESTRAINING ORDER,A court order that says a person must not do certain things that are likely to cause harm that can’t be fixed.,أمر منع تحفظي مؤقت - أمر يصدر من محكمة يأمر فيه بمنع شخص بعينه من القيام بممارسات معينة يمكن أن تسبب أضرارا لا يمكن إصلاحها.,أمر منع مؤقت
TENANCY,An interest in real estate which passes to the tenant.,الأيجار - أي مبلغ يدفع لاستئجار العقار.,الإيجار
TESTAMENT,A will disposing of personal property. (See WILL.),وصية - رضية في تصرف الأملاك الشخصية.,الوصية
TESTAMENTARY CAPACITY,"The legal ability to make a will. To write a will, a person has to be at least 18 years old; know what property he or she owns; and know who he or she wants to give the property to.",الأهلية الوصائية - الأهلية القانونية لواضع الوصية لوضع الوصية بحيث يجب أن يكون مجبراً، على الأقل إذا كان سنه 18 عامًا، يعلم بأملاكه التي يملكها، ويعلم بمن يريد أن يوصي لهم بتلك الأملاك.,الأهلية الوصائية
TESTAMENTARY DISPOSITION,"A disposition of property by way of gift, which is not to take effect unless the grantor does or until that event.",الأحكام الوصائية - تعبير يطلق على كل حكم يبرم بصيغة هبة ولا ينفذ إلا ما لم يتجسد الفاعل أو إذا بدأ بذلك.,التصرفات الوصائية
TESTAMENTARY GUARDIAN,A guardian appointed by the will of a father for the person and real and personal estate of his child until the child reaches full age.,وصي بحكم وصية - شخص يعينه الأب أو الأم في وصيتهما كصاحب الأملاك الشخصية والعقارية بالنسبة إلى ابنهما إلى أن يصبح الأخير كامل الأهلية.,الوصي الوصائي
TESTAMENTARY TRUST,A trust created in a will. The trust does not exist until the person dies.,وصية محفوظة - وصية مدونة كوثيقة معترف بها ويجب أن لا تدخل إلى الشرع إلا بعد موت الواصي إلى ذلك.,الوصية المحفوظة
TESTAMENTARY TRUSTEE,A person appointed to carry out a trust created by a will.,وكيل وصية - شخص عين لتنفيذ وصية مدونة وكوثيقة.,وكيل الوصية
TESTATE,One who has died leaving a will or one who has made a will.,تارك وصية - شخص مات وتارك وصية أو من وضع وصية.,تارك الوصية
TESTATOR,Male person who makes a will (female: testatrix).,الموصي,الموصى
TESTATRIX,Female person who makes a will (male: testator).,الموصية,الموصية
TESTIFY,To give evidence under oath as a witness in a court proceeding.,شهادة - بيان الحقيقة التي يؤديها شخص تحت قسم في المحكمة.,الشهادة
TESTIMONY,Oral evidence at a trial or deposition.,شهادة - أداء شهادة خطية,الشهادة
CONSTITUTIONAL RIGHT,"A right guaranteed by the U.S. Constitution, interpreted by the federal courts; also, a right guaranteed by some other constitution (such as a state constitution).",حق دستوري - حق مضمون بموجب الدساتير، يفسره القضاء الفيدرالي، كما يتم ضمانه أيضًا بموجب دساتير أخرى، كدساتير الولايات.,حق دستوري
CONTEMNOR,One who has committed contempt of court.,عميل الإحتقار - هو من يرتكب احتقار المحكمة.,عميل الاحتقار
CONTEMPORARY COMMUNITY STANDARD,"What is, objectively acceptable to the community as a whole.  Ascertainment of the standard must be based upon  an objective determination of what is unacceptable to the community as a whole. Your own personal, social, or moral views on the material involved in the case may not be considered.",معايير المجتمع المعاصر - ما هو مقبول بشكل موضوعي لدى مجموع المجتمع. يجب أن يعتمد تحديد هذا المعيار على تقرير موضوعي لما لا يمكن قبوله من قبل المجتمع ككل، الآراء الشخصية أو الاجتماعية أو الأخلاقية حول المواد المعنية بالقضية قد لا يتم أخذها بعين الاعتبار.,معايير المجتمع المعاصر
CONTEMPT (OF COURT),Disobeying a court order. Punishment can be a fine or jail.,احتقار المحكمة - عصيان أمر المحكمة، عقوبة غرامة أو السجن.,احتقار المحكمة
