FAQ_Question,FAQ_Answer,Most_Similar_MOJ_Description,MOJ_Similarity_Score
ما هي أهم الضمانات في المحكمة الافتراضية للتنفيذ؟,تمكين المستفيد من المعرفة الإجمالية والمتكاملة للطلبات كافة بنظام التنفيذ من حيث حالتها وحالة الإجراءات. تطوير آلية تقديم الطلبات لتكون أكثر سهولة وفاعلية بنفس الوقت مما يحفظ وقت المستفيدين. الاطلاع على تقارير إجمالية للحوالات أو تقارير بأهم الإجراءات في حال كان المستفيد جهة أو فردًا ولديه عدة طلبات. تلقي الإشعارات والتنبيهات الواردة للمتطلبات أو الإجراءات. تسريع عملية التدقيق والمراجعة بحيث يتم مراجعة مدخلات الطلب آليًا خلال الإدخال. متابعة الخط الزمني للطلب من بداية التقديم حتى وصوله للدائرة بما يمنح المستفيد المتابعة الدقيقة لكل الإجراءات وبما يحقق مزيدًا من الشفافية. توفير لوحة معلومات التنفيذ ببوابة ناجز تمكن المستفيد من الاطلاع المباشر والفوري على كل مستجدات قضاياه بمحاكم التنفيذ، سواءً كان طالب تنفيذ أو منفذًا ضده.,1- يجب أن يتضمن قرار المحكمة بندب الخبرة بياناً بمهمة الخبير، وصلاحياته، والتدابير العاجلة التي يؤذن له في اتخاذها، والخصم المكلف بإيداع المبلغ، ويثبت في المحضر.  2- تتولى الإدارة المختصة بيان التفاصيل اللازمة لتنفيذ القرار، وإدارة إجراءات الخبرة، وتهيئتها، بما في ذلك الآتي:  أ- تحديد نوع الخبرة المتخصصة، وتفاصيل مهمة الخبير، وصلاحياته، وأي مهام خاصة تتعلق بطبيعة الخبرة بما في ذلك تحديد الخبرات الفنية الفرعية ذات الصلة بالمهمة.  ب‌- إجراءات ترشيح واختيار الخبير، وتعيينه.  ج‌- إطلاع المرشح للخبرة على القضية تمهيداً لتقديم عرضه.  د- ما يتعلق بالمبلغ المقرر للخبرة، بما في ذلك تحديد مقداره، وأجل إيداعه، وكيفية تسليمه للخبير.  هـ‌- أجل إيداع كل من التقرير الأولي، والتقرير النهائي.  و‌- إنذار الخبير في حال عدم مباشرته المهمة، أو تأخره عن إيداع التقرير في الموعد المحدد.  ز- تلقي جميع الوثائق الناشئة عن إجراءات الخبرة.  ح- تبليغ الأطراف بأي شأن يتعلق بالخبرة.  ط‌- متابعة عمل الخبير، والإشراف على عمله أثناء أدائه المهمة.  ي- مراجعة تقرير الخبرة، والتحقق من استيفائه المتطلبات.  ك- تهيئة أي طلب يقدم للمحكمة بشأن الخبرة.  3- ترفع الإدارة المختصة للمحكمة تقريراً بجميع ما أجرته رفق تقرير الخبير النهائي.,0.608156623
ما هي حالات انتهاء سريان الوكالة؟,.ينتهي سريان الوكالة بانقضاء المدة المحددة في الوكالة، أو بفسخها من قبل المُوَّكل أو الوكيل ، أو بوفاة المُوَّكل أو الوكيل، أو بفقدان أحدهما الأهلية الشرعية,ينتهي عقد الوكالة بإنجاز العمل الموكل فيه، أو بانقضاء الأجل المعين للوكالة، أو بموت الموكّل أو الوكيل، أو بفقد أحدهما أهليته.,0.687222238
ما هي حالات طلب نقض حكم صادر من محكمة الاستئناف أمام المحكمة العليا؟,للمحكوم عليه الاعتراض بطلب النقض أمام المحكمة العليا على الأحكام والقرارات التي تصدرها أو تؤيدها محاكم الاستئناف، متى كان محل الاعتراض على الحكم ما يلي: مخالفة أحكام الشريعة الإسلامية وما يصدره ولي الأمر من أنظمة لا تتعارض معها. صدور الحكم من محكمة غير مشكلة تشكيلًا سليمًا طبقًا لما نُص عليه نظامًا. صدور الحكم من محكمة أو دائرة غير مختصة. الخطأ في تكييف الواقعة، أو وصفها وصفًا غير سليم. ,للمحكوم عليه الاعتراض بطلب النقض أمام المحكمة العليا على الأحكام والقرارات التي تصدرها أو تؤيدها محاكم الاستئناف، متى كان محل الاعتراض على الحكم ما يلي:  1- مخالفة أحكام الشريعة الإسلامية وما يصدره ولي الأمر من أنظمة لا تتعارض معها.  2- صدور الحكم من محكمة غير مشكلة تشكيلاً سليماً طبقاً لما نُص عليه نظاماً.  3- صدور الحكم من محكمة أو دائرة غير مختصة.  4- الخطأ في تكييف الواقعة، أو وصفها وصفاً غير سليم.,0.835094518
ما هي خطوات إعادة قيد محامي؟,يمكن التقدم بطلب إعادة قيد محامي من خلال الدخول على الحساب الشخصي في ناجز، الخدمات الإلكترونية، التراخيص العدلية، ثم اختيار خدمة إعادة قيد محامي.,للمحامي الذي شطب اسمه من الجدول، وألغي ترخيصه بسبب الحكم عليه بحد، أو بعقوبة في جريمة مخلة بالشرف أو الأمانة أن يطلب من لجنة قيد وقبول المحامين إعادة قيد اسمه في الجدول بعد مضي خمس سنوات على الأقل على انتهاء تنفيذ الحكم.  وتُتّبع في إعادة القيد الشروط والإجراءات المقررة بالنسبة للقيد إذا رأت اللجنة أن المدة المذكورة كافية لإصلاح شأنه، وإزالة أثر ما وقع منه. وإذا رفضت ذلك فللمحامي تجديده بعد مضي سنة على رفض طلبه.  ويسري هذا الإجراء على المحامي المشطوب اسمه من الجدول بقرار تأديبي نهائي من لجنة التأديب إذا طلب إعادة قيد اسمه في الجدول بعد مضي المدة الواردة في المادة (36) من النظام.,0.610485009
ما هي خطوات التحقق من حالة ترخيص صادر من وزارة العدل؟,يمكن التحقق من حالة التراخيص الصادرة من وزارة العدل من خلال اتباع الخطوات التالية: تسجيل الدخول في ناجز أفراد بحساب النفاذ الوطني اختيار جميع الخدمات الإلكترونية اختيار باقة (خدمات التحقق) الدخول إلى خدمة التحقق من ترخيص عدلي الضغط على أيقونة تقديم طلب جديد إدخال البيانات المطلوبة (نوع الترخيص، رقم الترخيص) الضغط على أيقونة (تحقق),1- لوزارة العدل طلب البيانات والمعلومات اللازمة للتحقق من المستندات والوثائق المصاحبة لطلبات الترخيص لمكاتب المحاماة الأجنبية، ولها كذلك طلب البيانات والمعلومات اللازمة من مكاتب المحاماة الأجنبية المرخص لها للتأكد من التزامها بأحكام هذا النظام ولائحته التنفيذية وذلك بما يتناسب مع طبيعة ونوع الترخيص الصادر لها.  2- لوزارة العدل -وفق ما تقدره وبالقدر اللازم لذلك- تفويض غيرها من الجهات في شأن ما يتعلق بصلاحياتها المنصوص عليها في الفقرة (1) من هذه المادة.,0.603715293
ما هي خطوات تقديم طلب ندب الخبرة؟,يتم إرسال طلب ندب الخبرة من قبل القاضي عن طريق نظام وزارة العدل مع تحديد المعايير المطلوبة للخبير كعدد سنوات الخبرة ومجال الخبرة والمهام المطلوبة من الخبير، وتحديد طرف الدعوى المتحمل لأتعاب الخبير، بعدها يتم مراجعة الطلب من قبل مركز تهيئة الدعاوى وإرسال الطلب لمرحلة الترشيح حيث ترشح عدة جهات خبرة وفقًا للمعايير المطلوبة، تقوم الجهات المرشحة بتقديم العروض الفنية والمالية خلال فترة زمنية محددة، وبعدها يمكن لأطراف الدعوى استبعاد أحد العروض المقدمة ويتم اختيار العرض بشكل آلي من قبل المنصة، بعد اختيار العرض يتم سداد المبلغ المطلوب من قبل طرف الدعوى المتحمل لرسوم المنصة، وبعدها تكلف جهة الخبرة لتعيين خبير واعداد تقرير الخبرة المطلوب خلال فترة محددة.,يجوز أن تتم إجراءات الخبرة إلكترونياً، بما في ذلك الآتي:  إجراءات تعيين الخبير، واختياره.  إبلاغ الخبير بقرار الندب.  طلب رد الخبير.  إيداع تقرير الخبرة.  مناقشة الخبير في تقريره.,0.681233521
ما هي خطوات رفع صحيفة دعوى أتعاب المحاماة أو الوكلاء في محكمة التنفيذ؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (تنفيذ) ثم اختيار التصنيف الفرعي (منازعات غير شكلية) ثم اختيار نوع الدعوى (أتعاب المحاماة أو الوكلاء).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.630111793
ما هي خطوات رفع صحيفة دعوى أتعاب محاماة أو وكلاء في المحكمة التجارية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (تجاري) ثم اختيار التصنيف الفرعي (الطلبات القضائية) ثم اختيار نوع الدعوى (أتعاب محاماة أو الوكلاء).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.617234701
ما هي خطوات رفع صحيفة دعوى أتعاب محاماة أو وكلاء في المحكمة الجزائية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (جزائية) ثم اختيار التصنيف الفرعي (مطالبات مالية) ثم اختيار نوع الدعوى (أتعاب محاماة أو وكلاء).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.635484372
ما هي خطوات رفع صحيفة دعوى أتعاب محاماة أو وكلاء في المحكمة العمالية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عمالية) ثم اختيار التصنيف الفرعي (حقوق مالية) ثم اختيار نوع الدعوى (أتعاب محاماة أو وكلاء).,1- ترفع الدعوى من المدعي بصحيفة -موقعة منه أو ممن يمثله- تودع لدى المحكمة من أصل وصور بعدد المدعى عليهم.  ويجب أن تشمل صحيفة الدعوى البيانات الآتية:  أ- الاسم الكامل للمدعي، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته، ومكان عمله، والاسم الكامل لمَنْ يمثله، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته ومكان عمله.  ب- الاسم الكامل للمدعى عليه، وما يتوافر من معلومات عن مهنته أو وظيفته، ومكان إقامته ومكان عمله، فإن لم يكن له مكان إقامة معلوم فآخر مكان إقامة كان له.  ج- تاريخ تقديم الصحيفة.  د- المحكمة المرفوعة أمامها الدعوى.  هـ- مكان إقامة مختار للمدعي في البلد الذي فيه مقر المحكمة إن لم يكن له مكان إقامة فيها.  و- موضوع الدعوى، وما يطلبه المدعي، وأسانيده.  ويكتفى بالنسبة إلى الأجهزة الحكومية في الفقرات (أ، ب، هـ) من هذه المادة بذكر الاسم والمقر.  وللمجلس الأعلى للقضاء عند الاقتضاء إضافة ما يلزم من وسائل وبيانات أخرى.  2- لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.  3- أ- تسري على المنازعات العمالية الجماعية القواعد والإجراءات المقررة في المنازعات العمالية الأخرى، مالم يقرر المجلس الأعلى للقضاء خلاف ذلك.  ب- تكون المنازعة العمالية جماعية عندما تنشأ المنازعة بين واحد (أو أكثر) من أصحاب العمل وجميع عماله، أو فريق منهم، بسبب العمل أو شروط العمل.,0.60392179
ما هي خطوات رفع صحيفة دعوى أتعاب محامين أو وكلاء في المحكمة العامة؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عامة) ثم اختيار التصنيف الفرعي (مالية) ثم اختيار نوع الدعوى (أتعاب محامين أو وكلاء).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.63911586
ما هي خطوات رفع صحيفة دعوى أتعاب محامين أو وكلاء في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (التصنيف العام) ثم اختيار نوع الدعوى (أتعاب محامين أو وكلاء).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.632130727
ما هي خطوات رفع صحيفة دعوى إثبات تنازل في المحكمة الجزائية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (جزائية) ثم اختيار التصنيف الفرعي (الطلبات القضائية) ثم اختيار نوع الدعوى (إثبات تنازل).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.637711073
ما هي خطوات رفع صحيفة دعوى إثبات رجعة في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (دعاوى النكاح والفرقة) ثم اختيار نوع الدعوى (إثبات رجعة).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.624887291
ما هي خطوات رفع صحيفة دعوى إثبات رضاع أو مصاهرة في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (التصنيف العام) ثم اختيار نوع الدعوى (إثبات رضاع أو مصاهرة).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.639342299
ما هي خطوات رفع صحيفة دعوى إثبات شهادة في المحكمة التجارية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (تجاري) ثم اختيار التصنيف الفرعي (الدعاوى المستعجلة) ثم اختيار نوع الدعوى (إثبات شهادة).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.60657211
ما هي خطوات رفع صحيفة دعوى إثبات شهادة في المحكمة الجزائية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (جزائية) ثم اختيار التصنيف الفرعي (الطلبات القضائية) ثم اختيار نوع الدعوى (إثبات شهادة).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.648764547
ما هي خطوات رفع صحيفة دعوى إثبات شهادة في المحكمة العامة؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عامة) ثم اختيار التصنيف الفرعي (الدعاوى المستعجلة) ثم اختيار نوع الدعوى (إثبات شهادة).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.635391291
ما هي خطوات رفع صحيفة دعوى إثبات شهادة في المحكمة العمالية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عمالية) ثم اختيار التصنيف الفرعي (الطلبات العارضة والعاجلة) ثم اختيار نوع الدعوى (إثبات شهادة).,1- ترفع الدعوى من المدعي بصحيفة -موقعة منه أو ممن يمثله- تودع لدى المحكمة من أصل وصور بعدد المدعى عليهم.  ويجب أن تشمل صحيفة الدعوى البيانات الآتية:  أ- الاسم الكامل للمدعي، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته، ومكان عمله، والاسم الكامل لمَنْ يمثله، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته ومكان عمله.  ب- الاسم الكامل للمدعى عليه، وما يتوافر من معلومات عن مهنته أو وظيفته، ومكان إقامته ومكان عمله، فإن لم يكن له مكان إقامة معلوم فآخر مكان إقامة كان له.  ج- تاريخ تقديم الصحيفة.  د- المحكمة المرفوعة أمامها الدعوى.  هـ- مكان إقامة مختار للمدعي في البلد الذي فيه مقر المحكمة إن لم يكن له مكان إقامة فيها.  و- موضوع الدعوى، وما يطلبه المدعي، وأسانيده.  ويكتفى بالنسبة إلى الأجهزة الحكومية في الفقرات (أ، ب، هـ) من هذه المادة بذكر الاسم والمقر.  وللمجلس الأعلى للقضاء عند الاقتضاء إضافة ما يلزم من وسائل وبيانات أخرى.  2- لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.  3- أ- تسري على المنازعات العمالية الجماعية القواعد والإجراءات المقررة في المنازعات العمالية الأخرى، مالم يقرر المجلس الأعلى للقضاء خلاف ذلك.  ب- تكون المنازعة العمالية جماعية عندما تنشأ المنازعة بين واحد (أو أكثر) من أصحاب العمل وجميع عماله، أو فريق منهم، بسبب العمل أو شروط العمل.,0.616954034
ما هي خطوات رفع صحيفة دعوى إثبات طلاق في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (دعاوى النكاح والفرقة) ثم اختيار نوع الدعوى (إثبات طلاق).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.601160362
ما هي خطوات رفع صحيفة دعوى إثبات عقد في المحكمة العامة؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عامة) ثم اختيار التصنيف الفرعي (أخرى) ثم اختيار نوع الدعوى (إثبات عقد).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.632350894
ما هي خطوات رفع صحيفة دعوى إثبات نسب أو نفيه في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (دعاوى الولاية) ثم اختيار نوع الدعوى (إثبات نسب أو نفيه).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.613115876
ما هي خطوات رفع صحيفة دعوى إثبات وفاة أو حصر ورثة متوفى بحالات خاصة في الإنهاءات؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (الإنهاءات) ثم اختيار التصنيف الفرعي (الورثة) ثم اختيار نوع الدعوى (إثبات وفاة أو حصر ورثة متوفى بحالات خاصة).,للمحكمة عند الاقتضاء أن تطلب من مقدم الإنهاء نشر طلب إثبات الوفاة وحصر الورثة في إحدى الصحف التي تصدر في منطقة المتوفى، وإذا لم تصدر صحف في المنطقة فتطلب نشره في إحدى الصحف الأكثر انتشاراً فيها، وللمحكمة كذلك أن تطلب من الحاكم الإداري للمنطقة التي تقع في نطاق اختصاصها التحري عما تقدم به طالب إثبات الوفاة وحصر الورثة، ويجب أن تكون الإجابات موقعة ممن يقدمها، ومصدقة من الجهة الإدارية التي قامت بالتحري.,0.634709378
ما هي خطوات رفع صحيفة دعوى إثبات وقف أو وصية في محكمة الأحوال الشخصية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (أحوال شخصية) ثم اختيار التصنيف الفرعي (دعاوى الأوقاف والوصايا) ثم اختيار نوع الدعوى (إثبات وقف أو وصية).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.624230943
ما هي خطوات رفع صحيفة دعوى أجر في المحكمة العمالية؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عمالية) ثم اختيار التصنيف الفرعي (حقوق مالية) ثم اختيار نوع الدعوى (أجر).,1- ترفع الدعوى من المدعي بصحيفة -موقعة منه أو ممن يمثله- تودع لدى المحكمة من أصل وصور بعدد المدعى عليهم.  ويجب أن تشمل صحيفة الدعوى البيانات الآتية:  أ- الاسم الكامل للمدعي، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته، ومكان عمله، والاسم الكامل لمَنْ يمثله، ورقم هويته، ومهنته أو وظيفته، ومكان إقامته ومكان عمله.  ب- الاسم الكامل للمدعى عليه، وما يتوافر من معلومات عن مهنته أو وظيفته، ومكان إقامته ومكان عمله، فإن لم يكن له مكان إقامة معلوم فآخر مكان إقامة كان له.  ج- تاريخ تقديم الصحيفة.  د- المحكمة المرفوعة أمامها الدعوى.  هـ- مكان إقامة مختار للمدعي في البلد الذي فيه مقر المحكمة إن لم يكن له مكان إقامة فيها.  و- موضوع الدعوى، وما يطلبه المدعي، وأسانيده.  ويكتفى بالنسبة إلى الأجهزة الحكومية في الفقرات (أ، ب، هـ) من هذه المادة بذكر الاسم والمقر.  وللمجلس الأعلى للقضاء عند الاقتضاء إضافة ما يلزم من وسائل وبيانات أخرى.  2- لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.  3- أ- تسري على المنازعات العمالية الجماعية القواعد والإجراءات المقررة في المنازعات العمالية الأخرى، مالم يقرر المجلس الأعلى للقضاء خلاف ذلك.  ب- تكون المنازعة العمالية جماعية عندما تنشأ المنازعة بين واحد (أو أكثر) من أصحاب العمل وجميع عماله، أو فريق منهم، بسبب العمل أو شروط العمل.,0.622448117
ما هي خطوات رفع صحيفة دعوى أجرة أعمال في المحكمة العامة؟,الدخول لبوابة ناجز ثم تسجيل الدخول عبر النفاذ الوطني الموحد ثم اختيار القضاء ثم صحيفة الدعوى ثم طلب جديد ثم اختيار التصنيف الرئيسي (عامة) ثم اختيار التصنيف الفرعي (مالية) ثم اختيار نوع الدعوى (أجرة أعمال).,1.ترفع الدعوى بصحيفة تودع لدى المحكمة، وتحدد اللائحة الدعاوى التي يجب رفعها من محامٍ.  2.يجب أن تتضمن صحيفة الدعوى الآتي:  أ-بيانات الأطراف وممثليهم وصفاتهم وعناوينهم، والبيانات والوثائق التي تحددها اللائحة.  ب-حصر الطلبات، وتحديد جميع أسانيد الدعوى.  3.لا يجمع في صحيفة الدعوى بين عدة طلبات لا رابط بينها.,0.637614274
